link,mean_abs_price_diff,x1,x2,y1,y2
25758_25759,0.26235002673670316,-73.29999999999944,-73.50000000000017,41.09999247770026,41.09999247770046
25758_25760,0.38529374044599,-73.09999999999975,-73.50000000000017,41.09999247770072,41.09999247770046
25758_26058,0.2225965763239665,-73.50000000000111,-73.50000000000017,41.29999215927232,41.09999247770046
25758_26059,0.4804650573991819,-73.29999999999932,-73.50000000000017,41.29999215927206,41.09999247770046
25758_26060,0.5210087301469944,-73.0999999999994,-73.50000000000017,41.29999215927185,41.09999247770046
25758_26062,0.3445301868006927,-72.70000000000023,-73.50000000000017,41.2999921592723,41.09999247770046
25758_26358,0.32284989737165354,-73.50000000000072,-73.50000000000017,41.4999918365259,41.09999247770046
25758_26359,0.2716467925421935,-73.30000000000017,-73.50000000000017,41.49999183652591,41.09999247770046
25758_26360,1.1819068168826774,-73.09999999999877,-73.50000000000017,41.49999183652598,41.09999247770046
25758_26361,0.24075758168038738,-72.8999999999997,-73.50000000000017,41.49999183652578,41.09999247770046
25758_26658,0.33854755526566555,-73.50000000000085,-73.50000000000017,41.69999150943727,41.09999247770046
25758_26659,0.4979686858078794,-73.30000000000028,-73.50000000000017,41.69999150943714,41.09999247770046
25758_26660,0.43558031604463865,-73.09999999999854,-73.50000000000017,41.69999150943715,41.09999247770046
25759_25760,0.1515327681650298,-73.09999999999975,-73.29999999999944,41.09999247770072,41.09999247770026
25759_26058,0.18504579757608192,-73.50000000000111,-73.29999999999944,41.29999215927232,41.09999247770026
25759_26059,0.2752235299457723,-73.29999999999932,-73.29999999999944,41.29999215927206,41.09999247770026
25759_26060,0.2645014294112114,-73.0999999999994,-73.29999999999944,41.29999215927185,41.09999247770026
25759_26062,0.5602152877177482,-72.70000000000023,-73.29999999999944,41.2999921592723,41.09999247770026
25759_26063,0.6369393071786622,-72.50000000000142,-73.29999999999944,41.29999215927268,41.09999247770026
25759_26358,0.27247341225902666,-73.50000000000072,-73.29999999999944,41.4999918365259,41.09999247770026
25759_26359,0.286809060046199,-73.30000000000017,-73.29999999999944,41.49999183652591,41.09999247770026
25759_26360,0.9966411645334533,-73.09999999999877,-73.29999999999944,41.49999183652598,41.09999247770026
25759_26361,0.30231294202860515,-72.8999999999997,-73.29999999999944,41.49999183652578,41.09999247770026
25759_26362,0.5066067059732313,-72.69999999999905,-73.29999999999944,41.49999183652564,41.09999247770026
25759_26658,0.28863432543036927,-73.50000000000085,-73.29999999999944,41.69999150943727,41.09999247770026
25759_26659,0.3824514679836226,-73.30000000000028,-73.29999999999944,41.69999150943714,41.09999247770026
25759_26660,0.5256105688371228,-73.09999999999854,-73.29999999999944,41.69999150943715,41.09999247770026
25759_26661,0.35551784193737485,-72.90000000000066,-73.29999999999944,41.69999150943692,41.09999247770026
25760_26058,0.28061785475821016,-73.50000000000111,-73.09999999999975,41.29999215927232,41.09999247770072
25760_26059,0.21619826526059763,-73.29999999999932,-73.09999999999975,41.29999215927206,41.09999247770072
25760_26060,0.17131764270276623,-73.0999999999994,-73.09999999999975,41.29999215927185,41.09999247770072
25760_26062,0.6776962346553881,-72.70000000000023,-73.09999999999975,41.2999921592723,41.09999247770072
25760_26063,0.7553120409117243,-72.50000000000142,-73.09999999999975,41.29999215927268,41.09999247770072
25760_26064,0.3295331631219133,-72.29999999999922,-73.09999999999975,41.29999215927215,41.09999247770072
25760_26358,0.3181097848175597,-73.50000000000072,-73.09999999999975,41.4999918365259,41.09999247770072
25760_26359,0.3508485577345857,-73.30000000000017,-73.09999999999975,41.49999183652591,41.09999247770072
25760_26360,0.8929016745219621,-73.09999999999877,-73.09999999999975,41.49999183652598,41.09999247770072
25760_26361,0.38867960163842596,-72.8999999999997,-73.09999999999975,41.49999183652578,41.09999247770072
25760_26362,0.6062686683877708,-72.69999999999905,-73.09999999999975,41.49999183652564,41.09999247770072
25760_26363,0.3610017085449643,-72.50000000000132,-73.09999999999975,41.499991836525965,41.09999247770072
25760_26658,0.3290160196518123,-73.50000000000085,-73.09999999999975,41.69999150943727,41.09999247770072
25760_26659,0.3402368977965889,-73.30000000000028,-73.09999999999975,41.69999150943714,41.09999247770072
25760_26660,0.6047366222411753,-73.09999999999854,-73.09999999999975,41.69999150943715,41.09999247770072
25760_26661,0.4413026046803895,-72.90000000000066,-73.09999999999975,41.69999150943692,41.09999247770072
25760_26662,0.9490929985232176,-72.69999999999874,-73.09999999999975,41.69999150943672,41.09999247770072
26058_26059,0.3304211042721408,-73.29999999999932,-73.50000000000111,41.29999215927206,41.29999215927232
26058_26060,0.3931954473376706,-73.0999999999994,-73.50000000000111,41.29999215927185,41.29999215927232
26058_26062,0.4834997713224214,-72.70000000000023,-73.50000000000111,41.2999921592723,41.29999215927232
26058_26358,0.15792879860565526,-73.50000000000072,-73.50000000000111,41.4999918365259,41.29999215927232
26058_26359,0.1455154243725593,-73.30000000000017,-73.50000000000111,41.49999183652591,41.29999215927232
26058_26360,1.0273725359082784,-73.09999999999877,-73.50000000000111,41.49999183652598,41.29999215927232
26058_26361,0.2483688904618497,-72.8999999999997,-73.50000000000111,41.49999183652578,41.29999215927232
26058_26362,0.4347669054077909,-72.69999999999905,-73.50000000000111,41.49999183652564,41.29999215927232
26058_26658,0.18267279048342094,-73.50000000000085,-73.50000000000111,41.69999150943727,41.29999215927232
26058_26659,0.33762243992597196,-73.30000000000028,-73.50000000000111,41.69999150943714,41.29999215927232
26058_26660,0.4472937979058635,-73.09999999999854,-73.50000000000111,41.69999150943715,41.29999215927232
26058_26661,0.28917343349345254,-72.90000000000066,-73.50000000000111,41.69999150943692,41.29999215927232
26058_26958,0.8262569421765367,-73.50000000000105,-73.50000000000111,41.89999117796596,41.29999215927232
26058_26959,1.2610053244583537,-73.29999999999923,-73.50000000000111,41.89999117796654,41.29999215927232
26058_26960,0.4783287913817857,-73.09999999999907,-73.50000000000111,41.899991177966825,41.29999215927232
26059_26060,0.1435382401397108,-73.0999999999994,-73.29999999999932,41.29999215927185,41.29999215927206
26059_26062,0.7668264995620294,-72.70000000000023,-73.29999999999932,41.2999921592723,41.29999215927206
26059_26063,0.8403531303146654,-72.50000000000142,-73.29999999999932,41.29999215927268,41.29999215927206
26059_26358,0.34625271765051946,-73.50000000000072,-73.29999999999932,41.4999918365259,41.29999215927206
26059_26359,0.37847106678757303,-73.30000000000017,-73.29999999999932,41.49999183652591,41.29999215927206
26059_26360,0.7698002764668351,-73.09999999999877,-73.29999999999932,41.49999183652598,41.29999215927206
26059_26361,0.48822395779175987,-72.8999999999997,-73.29999999999932,41.49999183652578,41.29999215927206
26059_26362,0.698922565300835,-72.69999999999905,-73.29999999999932,41.49999183652564,41.29999215927206
26059_26363,0.4666548524283904,-72.50000000000132,-73.29999999999932,41.499991836525965,41.29999215927206
26059_26658,0.3562625810456395,-73.50000000000085,-73.29999999999932,41.69999150943727,41.29999215927206
26059_26659,0.3293507165470635,-73.30000000000028,-73.29999999999932,41.69999150943714,41.29999215927206
26059_26660,0.6741939317134708,-73.09999999999854,-73.29999999999932,41.69999150943715,41.29999215927206
26059_26661,0.5251602743681238,-72.90000000000066,-73.29999999999932,41.69999150943692,41.29999215927206
26059_26662,1.0309100358013492,-72.69999999999874,-73.29999999999932,41.69999150943672,41.29999215927206
26059_26958,1.123352573114317,-73.50000000000105,-73.29999999999932,41.89999117796596,41.29999215927206
26059_26959,1.5523812111732342,-73.29999999999923,-73.29999999999932,41.89999117796654,41.29999215927206
26059_26960,0.6126411622282791,-73.09999999999907,-73.29999999999932,41.899991177966825,41.29999215927206
26059_26961,0.9465592567448732,-72.90000000000055,-73.29999999999932,41.899991177966825,41.29999215927206
26060_26062,0.8076450295567512,-72.70000000000023,-73.0999999999994,41.2999921592723,41.29999215927185
26060_26063,0.8848325294834649,-72.50000000000142,-73.0999999999994,41.29999215927268,41.29999215927185
26060_26064,0.425170389593729,-72.29999999999922,-73.0999999999994,41.29999215927215,41.29999215927185
