link,mean_abs_price_diff,x1,x2,y1,y2
24855_24856,3.661355705365792,-73.89999999999824,-74.10000000000136,40.49999340739561,40.49999340739598
24855_25156,4.459721088763717,-74.10000000000136,-73.89999999999887,40.49999340739598,40.69999310173078
24855_25157,13.034975744249378,-74.10000000000136,-73.69999999999963,40.49999340739598,40.69999310173009
24855_25159,14.271623027107843,-74.10000000000136,-73.30000000000092,40.49999340739598,40.69999310173026
24855_25456,4.613172948705251,-74.10000000000136,-73.9000000000007,40.49999340739598,40.899992791840496
24855_25457,12.952664127918823,-74.10000000000136,-73.6999999999999,40.49999340739598,40.89999279184001
24855_25756,5.020496201322485,-74.10000000000136,-73.90000000000062,40.49999340739598,41.0999924776997
24855_25757,5.036487944851395,-74.10000000000136,-73.69999999999926,40.49999340739598,41.0999924777006
24856_25156,3.4676719878233855,-73.89999999999824,-73.89999999999887,40.49999340739561,40.69999310173078
24856_25157,11.745962348081369,-73.89999999999824,-73.69999999999963,40.49999340739561,40.69999310173009
24856_25159,13.054785873991333,-73.89999999999824,-73.30000000000092,40.49999340739561,40.69999310173026
24856_25160,15.045542897253831,-73.89999999999824,-73.09999999999859,40.49999340739561,40.69999310173066
24856_25456,3.8443126616346297,-73.89999999999824,-73.9000000000007,40.49999340739561,40.899992791840496
24856_25457,11.770007706007712,-73.89999999999824,-73.6999999999999,40.49999340739561,40.89999279184001
24856_25756,4.5735536386577165,-73.89999999999824,-73.90000000000062,40.49999340739561,41.0999924776997
24856_25757,4.528059024021645,-73.89999999999824,-73.69999999999926,40.49999340739561,41.0999924777006
25156_25157,9.329406781883439,-73.69999999999963,-73.89999999999887,40.69999310173009,40.69999310173078
25156_25159,10.616334295959765,-73.30000000000092,-73.89999999999887,40.69999310173026,40.69999310173078
25156_25160,12.84299939525423,-73.09999999999859,-73.89999999999887,40.69999310173066,40.69999310173078
25156_25456,0.6317298976604163,-73.9000000000007,-73.89999999999887,40.899992791840496,40.69999310173078
25156_25457,9.228669125196124,-73.6999999999999,-73.89999999999887,40.89999279184001,40.69999310173078
25156_25460,12.894356735446216,-73.09999999999853,-73.89999999999887,40.899992791840226,40.69999310173078
25156_25756,1.3370032868174926,-73.90000000000062,-73.89999999999887,41.0999924776997,40.69999310173078
25156_25757,1.297441375111506,-73.69999999999926,-73.89999999999887,41.0999924777006,40.69999310173078
25156_26054,3.4505304148755274,-74.29999999999781,-73.89999999999887,41.299992159272165,40.69999310173078
25156_26055,3.078967886903976,-74.10000000000153,-73.89999999999887,41.299992159272435,40.69999310173078
25156_26056,1.968241440968841,-73.90000000000016,-73.89999999999887,41.299992159272655,40.69999310173078
25156_26057,1.3722176718580428,-73.69999999999865,-73.89999999999887,41.29999215927237,40.69999310173078
25157_25159,4.7104017585363325,-73.69999999999963,-73.30000000000092,40.69999310173009,40.69999310173026
25157_25160,6.979442213491812,-73.09999999999859,-73.69999999999963,40.69999310173066,40.69999310173009
25157_25456,9.392899014991904,-73.69999999999963,-73.9000000000007,40.69999310173009,40.899992791840496
25157_25457,3.595190452851495,-73.6999999999999,-73.69999999999963,40.89999279184001,40.69999310173009
25157_25460,7.03489579547635,-73.09999999999853,-73.69999999999963,40.899992791840226,40.69999310173009
25157_25756,9.843152167806224,-73.69999999999963,-73.90000000000062,40.69999310173009,41.0999924776997
25157_25757,9.763543362737638,-73.69999999999963,-73.69999999999926,40.69999310173009,41.0999924777006
25157_26055,11.462205740468237,-73.69999999999963,-74.10000000000153,40.69999310173009,41.299992159272435
25157_26056,10.414086596467598,-73.69999999999963,-73.90000000000016,40.69999310173009,41.299992159272655
25157_26057,9.797712350390555,-73.69999999999865,-73.69999999999963,41.29999215927237,40.69999310173009
25159_25160,2.7589534605655484,-73.09999999999859,-73.30000000000092,40.69999310173066,40.69999310173026
25159_25456,10.634781493535279,-73.30000000000092,-73.9000000000007,40.69999310173026,40.899992791840496
25159_25457,2.029797052908425,-73.6999999999999,-73.30000000000092,40.89999279184001,40.69999310173026
25159_25460,3.0275389421667684,-73.09999999999853,-73.30000000000092,40.899992791840226,40.69999310173026
25159_25462,4.481982496194824,-72.69999999999936,-73.30000000000092,40.89999279183999,40.69999310173026
25159_25756,11.001531709057252,-73.30000000000092,-73.90000000000062,40.69999310173026,41.0999924776997
25159_25757,10.92779345449171,-73.30000000000092,-73.69999999999926,40.69999310173026,41.0999924777006
25159_26057,10.946655062578868,-73.69999999999865,-73.30000000000092,41.29999215927237,40.69999310173026
25160_25456,12.874443172619372,-73.09999999999859,-73.9000000000007,40.69999310173066,40.899992791840496
25160_25457,4.334174645576652,-73.09999999999859,-73.6999999999999,40.69999310173066,40.89999279184001
25160_25460,0.7625585410809641,-73.09999999999859,-73.09999999999853,40.69999310173066,40.899992791840226
25160_25462,0.9887682648401828,-73.09999999999859,-72.69999999999936,40.69999310173066,40.89999279183999
25160_25464,1.4977194744296622,-73.09999999999859,-72.29999999999946,40.69999310173066,40.899992791839765
25160_25757,13.13524121733187,-73.09999999999859,-73.69999999999926,40.69999310173066,41.0999924777006
